"","kingdom","phylum","class","order","family","genus"
"bfd90efdf529810a315a5d775102b4c4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"93e686dd8cfb8802d7b76ea66121c146","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"3dc5f3a95a8a32b6b809d80aed470d4b","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"68c84d08c72d8467a6184f1b1f9dd63f","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"71c9d5f3e62c1b19035be1d6d19c3def","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"397c669d10f70c302de89504e252ea75","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea"
"0c73faf102b7595f2fe0a275ea236d36","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"bc6726687c50cf4c8282d6886de99057","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"2bc7ae0913f8643d8447352656547aea","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"ca613922a1fca5ac2867e7211015e098","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"9f7303858b37a54c4cddbfde8adb1791","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"2eba4c9055d8f9fb3ffe4547721a5675","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"899823a5f958fd2c2084e6d9140a2568","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus"
"9bdac72697ba67a22e780ca95fa1b599","Eukaryota","Vertebrata","Mammalia","Mammalia","Mammalia","Mammalia"
"1ba6984869dea6fbcb7341f9f2b74815","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"dcd6ecbc7453888781384b80eba2541e","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"2e52ea4956ed1ec9bf0a690961ffcc77","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"78825dc6b4067302c2c0bc6ea59e329a","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"48abcde98d9c934179287bba1a37ea2b","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella"
"f3a5dba49e71489abf00758e8e611aa7","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"db1cc3487189bb0952e55265451e4646","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"a39edf1892ec1bfa2d2b6f2bd60b1f6f","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"87d3e4abb1714d8b8d2ca80f91b46147","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"0635e8263fd0be6663ac1274e9aa6586","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia"
"51cb93082bdd9c372e0c16b4f724cb08","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"04fe131934a99f1cc11ccf5d45fa24ac","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"ca68e26e76dcb27647de15c144a38504","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Peptoniphilus"
"adfab4369d1f1184180d0952b931226f","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"63e88ecfecf5ad1f04c8e29e0800755a","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"fe522454d216bbb348275e53b96800bd","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Unassigned"
"f64a512397583d71eedc866d1ae230f3","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"66c354c5e308acb734ecd04b399e60ec","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"7ba57cfede55ed0076eaad7c0248352a","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"9ef00ce4ee9034498c966074e4ddbc9b","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"af82a45d896664794806e50716bd8ef1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"649c4187ef9db712d907d391101b6140","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"8224874f2b36141e825707909ac1ebc7","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"c317acee31357c0196631996d2949925","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"b086995968498e471318e3712ef91c53","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"7f3a55117d01df906fb540ba222b279b","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Finegoldia"
"8b9e1b83ec9015739c970df7b7484297","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"205d5ca4ed13920d1200727d6b8c7742","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"0ecb7e56241204ecb623297ad317325c","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella"
"b77d722d1358ce6a09f6e4f7b6153ea9","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"9adfc052275a704a8df6939bfab175a1","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"88e393dd2c48aaf43e2369062ace6482","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"62cbe362d450c328a908bdccb173e67b","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"93795b883b42fd2b974e79527253f8c9","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"f246dd7ce816ebdc6556ba372eb6f44d","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"3c1a661337bd334f9cdbc9a4f80f3211","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"3ba3e1b75167f2462ac73f401ae9ede5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"a57b1e57cf51b77b6be17a35be549bd0","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"90d8b61b4596f2c5f9a0ff12ed689e8e","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus"
"b7e6a6aa38375faf00ea097ac68e31e4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"d872f04e57a8c5c58348175b86354978","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"152e027bc2adbbd282f74bce39a054be","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"2e186854859fcefa45c1984503b423ec","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"7bcbd3f042e2d2ba25e8bbfb8673422c","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria"
"8b711e99c5fbc689a42a91abe22523f7","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"91b90929c8f8439149c65451d957a768","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"fab553a55cd5ef114df7b66d6730e708","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"30063012977221d2b7ddd89086e8a2e0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"049120ad299dd8fe7ff9cb0d76e40056","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"05991a31f0d043c208e7cdb26312d9d3","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"fae73b76f1146aebab6d4a5b9f02f3f5","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"3dc8ee03db030d9b693bc5229893b941","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia"
"217aab5231a529c04985588d3ef0b713","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"3f47635c4c67fcc86a7d127d9378f1b0","Eukaryota","Vertebrata","Mammalia","Mammalia","Mammalia","Mammalia"
"ce678d6e921393988dfd4ec10ce9e3ac","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"79dae121a9896dd9afcd8d1bc2537a2d","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"219a7807f37e1d0411e7c7f288d17516","nassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"f1a75356c9ce8bb3bb16cea7800bbd95","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella"
"c0f92781ba662dadd1c1651498c1b724","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"a1876c045a80cb87018ae4bbcf87bde4","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister"
